"","house_price","rental_agency","city","bedrooms","surface"
"1",575,"OurCampus Amsterdam Diemen","Diemen",1,27
"2",835,"Nido Student","Utrecht",1,20
"3",1095,"Rotterdam Apartments","Rotterdam",1,40
"4",1295,"Rotterdam Apartments","Rotterdam",2,55
"5",425,"Rotterdam Apartments","Rotterdam",1,17
"6",2000,"Rotterdam Apartments","Spijkenisse",5,111
"7",650,"De Huissleutel","Tilburg",1,32
"8",2500,"De Graaf & Groot Makelaars","Amsterdam",3,84
"9",1300,"SPiL makelaars","Haarlem",3,50
"10",1250,"123Wonen Utrecht","IJsselstein",2,100
"11",1750,"ViaDaan","Amsterdam",3,110
"12",700,"123Wonen West-Brabant","Bergen op Zoom",2,36
"13",1350,"Amsterdam Rentals","Amsterdam",1,28
"14",1600,"Netherlands Rentals","Utrecht",2,80
"15",1200,"Direct Capital B.V.","Amsterdam",1,30
"16",1750,"AA real estate solutions","Amsterdam",3,67
"17",1350,"Blauw Makelaars","Gouda",3,88
"18",1150,"Zen Home Rentals","Amsterdam",1,26
"19",1595,"City Homes","Amsterdam",2,55
"20",1400,"Riva Rentals","Rotterdam",3,76
"21",800,"Gevaert Makelaars","Nieuwegein",2,46
"22",1250,"Haagen & Partners","Amsterdam",2,30
"23",1250,"Housing Solutions Breda","Breda",3,80
"24",730,"Duinzigt Wonen B.V.","Den Haag",3,50
"25",260,"VoorkomLeegstand","Heel",1,55
"26",825,"070Wonen","Den Haag",2,42
"27",1250,"EHR Haarlem - Leiden","Hoofddorp",2,60
"28",1000,"Expatdesk Nijmegen","Nijmegen",2,40
"29",770,"Forest Property Management","Zeist",2,30
"30",1355,"Wooove B.V.","Amsterdam",2,55
"31",1375,"Wooove B.V.","Amsterdam",2,73
"32",1795,"Wooove B.V.","Amsterdam",3,92
"33",575,"OurCampus Amsterdam Diemen","Diemen",1,27
"34",955,"P&D Housing","Tilburg",1,55
"35",1615,"Wooove B.V.","Amsterdam",3,80
"36",1995,"Tekke Housing","Amsterdam",3,95
"37",1375,"Renthouse Vastgoed","Amstelveen",2,45
"38",1430,"vb&t Verhuurmakelaars","Amstelveen",5,109
"39",1395,"Friendly Housing","Eindhoven",3,102
"40",950,"Friendly Housing","Eindhoven",2,40
"41",1095,"123Wonen Nijmegen","Plasmolen",3,110
"42",1155,"EHR Haarlem - Leiden","Haarlem",2,56
"43",825,"Max Property Rentals","Rotterdam",3,50
"44",910,"GOETH Vastgoed","Eindhoven",2,57
