house_price,rental_agency,city,bedrooms,surface
575,OurCampus Amsterdam Diemen,Diemen,1,27
835,Nido Student,Utrecht,1,20
1095,Rotterdam Apartments,Rotterdam,1,40
1295,Rotterdam Apartments,Rotterdam,2,55
425,Rotterdam Apartments,Rotterdam,1,17
2000,Rotterdam Apartments,Spijkenisse,5,111
650,De Huissleutel,Tilburg,1,32
2500,De Graaf & Groot Makelaars,Amsterdam,3,84
1300,SPiL makelaars,Haarlem,3,50
1250,123Wonen Utrecht,IJsselstein,2,100
1750,ViaDaan,Amsterdam,3,110
700,123Wonen West-Brabant,Bergen op Zoom,2,36
1350,Amsterdam Rentals,Amsterdam,1,28
1600,Netherlands Rentals,Utrecht,2,80
1200,Direct Capital B.V.,Amsterdam,1,30
1750,AA real estate solutions,Amsterdam,3,67
1350,Blauw Makelaars,Gouda,3,88
1150,Zen Home Rentals,Amsterdam,1,26
1595,City Homes,Amsterdam,2,55
1400,Riva Rentals,Rotterdam,3,76
800,Gevaert Makelaars,Nieuwegein,2,46
1250,Haagen & Partners,Amsterdam,2,30
1250,Housing Solutions Breda,Breda,3,80
730,Duinzigt Wonen B.V.,Den Haag,3,50
260,VoorkomLeegstand,Heel,1,55
825,070Wonen,Den Haag,2,42
1250,EHR Haarlem - Leiden,Hoofddorp,2,60
1000,Expatdesk Nijmegen,Nijmegen,2,40
770,Forest Property Management,Zeist,2,30
1355,Wooove B.V.,Amsterdam,2,55
1375,Wooove B.V.,Amsterdam,2,73
1795,Wooove B.V.,Amsterdam,3,92
575,OurCampus Amsterdam Diemen,Diemen,1,27
955,P&D Housing,Tilburg,1,55
1615,Wooove B.V.,Amsterdam,3,80
1995,Tekke Housing,Amsterdam,3,95
1375,Renthouse Vastgoed,Amstelveen,2,45
1430,vb&t Verhuurmakelaars,Amstelveen,5,109
1395,Friendly Housing,Eindhoven,3,102
950,Friendly Housing,Eindhoven,2,40
1095,123Wonen Nijmegen,Plasmolen,3,110
1155,EHR Haarlem - Leiden,Haarlem,2,56
825,Max Property Rentals,Rotterdam,3,50
910,GOETH Vastgoed,Eindhoven,2,57
850,123Wonen Arnhem,Arnhem,3,80
1050,bredawonen.com,Breda,2,61
1500,EHR Haarlem - Leiden,Haarlem,3,82
2500,Amsterdam Beautiful Property Rental,Amsterdam,4,135
950,NederWoon verhuurmakelaars Amersfoort,Amersfoort,2,44
1795,Interhouse verhuurmakelaars Utrecht,Utrecht,3,81
1297,DC Wonen,Groningen,4,70
1695,AmsterHomes,Amsterdam,3,60
1130,VERRA Real Estate Rotterdam,Delft,3,72
